#LICENSE_ID,SOURCE_SYSTEM,CALLSIGN,FACILITY_ID,FRN,LIC_NAME,COMMON_NAME,RADIO_SERVICE_CODE,RADIO_SERVICE_DESC,ROLLUP_CATEGORY_CODE,ROLLUP_CATEGORY_DESC,GRANT_DATE,EXPIRED_DATE,CANCELLATION_DATE,LAST_ACTION_DATE,LIC_STATUS_CODE,LIC_STATUS_DESC,ROLLUP_STATUS_CODE,ROLLUP_STATUS_DESC,ENTITY_TYPE_CODE,ENTITY_TYPE_DESC,ROLLUP_ENTITY_CODE,ROLLUP_ENTITY_DESC,LIC_ADDRESS,LIC_CITY,LIC_STATE,LIC_ZIP_CODE,LIC_ATTENTION_LINE,CONTACT_COMPANY,CONTACT_NAME,CONTACT_TITLE,CONTACT_ADDRESS1,CONTACT_ADDRESS2,CONTACT_CITY,CONTACT_STATE,CONTACT_ZIP,CONTACT_COUNTRY,CONTACT_PHONE,CONTACT_FAX,CONTACT_EMAIL,MARKET_CODE,MARKET_DESC,CHANNEL_BLOCK,LOC_TYPE_CODE,LOC_TYPE_DESC,LOC_CITY,LOC_COUNTY_CODE,LOC_COUNTY_NAME,LOC_STATE,LOC_RADIUS_OP,LOC_SEQ_ID,LOC_LAT_DEG,LOC_LAT_MIN,LOC_LAT_SEC,LOC_LAT_DIR,LOC_LONG_DEG,LOC_LONG_MIN,LOC_LONG_SEC,LOC_LONG_DIR,HGT_STRUCTURE,ASR_NUM,ANTENNA_ID,ANT_SEQ_ID,ANT_MAKE,ANT_MODEL,ANT_TYPE_CODE,ANT_TYPE_DESC,AZIMUTH,BEAMWIDTH,POLARIZATION_CODE,FREQUENCY_ID,FREQ_SEQ_ID,FREQ_CLASS_STATION_CODE,FREQ_CLASS_STATION_DESC,POWER_ERP,POWER_OUTPUT,FREQUENCY_ASSIGNED,FREQUENCY_UPPER_BAND,UNIT_OF_MEASURE,TOLERANCE,EMISSION_ID,EMISSION_SEQ_ID,EMISSION_CODE,GROUND_ELEVATION
1000006709,"CDBS","WMXV",6709,"0027930635","SINGING RIVER MEDIA GROUP, LLC",,"FM","FM Station","Broadcast","Broadcast",,"08/01/2020 00:00:00",,,"LICEN","LICENSED","A","Active",,"Unknown","B","Business","801 AVALON AVENUE, SUITE 201","MUSCLE SHOALS","AL","35661",,"FLETCHER, HEALD & HILDRETH, P.L.C.","HOWARD M. WEISS, ESQUIRE",,,,,,,,"7038120400",,"WEISS@FHHLAW.COM",,,,"FM","FM Station","ST. JOSEPH",,,"TN",,6709,34,55,47.0,"N",87,31,44.0,"W",,"1257554",1000006761,,"ERI","LPX-3","N","Non-Directional",,,,1000006761,,"A","A Zone I, I-A, or II station, with 0.1kW-6kW ERP and a class contour distance <=28km",2.850,2192.000,101.50000000,101.50000000,"MHz.",,,,,
1000006718,"CDBS","DK22ES",6718,"0005828868","MS COMMUNICATIONS, LLC",,"TX","TV Translator or LPTV station","Broadcast","Broadcast","10/28/2010 00:00:00","06/01/2013 00:00:00","10/28/2010 00:00:00","10/28/2010 00:00:00","LICAN","LICENSE CANCELLED","C","Cancelled",,"Unknown","B","Business","1121 NORTH WAVERLY PLACE,","MILWAUKEE","WI","53202",,"MOIR & HARDMAN","KENNETH E. HARDMAN",,,,,,,,"2022233772",,"KENHARDMAN@ATTGLOBAL.NET",,,,"TX","TV Translator or LPTV station","BATESVILLE",,,"AR",,6718,35,53,27.0,"N",91,44,2.0,"W",,"1039088",1000006762,36576,"SCA","CL-1469","D","Directional",,,,1000006762,,,,0.007,,518.00000000,524.00000000,"MHz.",,,,,
1000006734,"CDBS","DW59AQ",6734,,"BRESNAN COMMUNICATIONS COMPANY, L.P.",,"TX","TV Translator or LPTV station","Broadcast","Broadcast",,"10/01/2005 06:00:00",,,"LICAN","LICENSE CANCELLED","C","Cancelled",,"Unknown","B","Business","709 WESTCHESTER AVENUE","WHITE PLAINS","NY","10604",,,,,,,,,,,,,,,,,"TX","TV Translator or LPTV station","IRON MOUNTAIN",,,"MI",,6734,45,49,15.0,"N",88,2,38.0,"W",,,1000006774,,,,,,,,"H",1000006774,,,,0.815,,740.00000000,740.00000000,"MHz.",,,,,
1000006744,"CDBS","WEFS",6744,"0008524944","EASTERN FLORIDA STATE COLLEGE",,"DT","Digital TV","Broadcast","Broadcast","05/05/2009 14:54:40","02/01/2021 00:00:00",,"05/05/2009 14:54:40","LICEN","LICENSED","A","Active",,"Unknown","B","Business","1519 CLEARLAKE ROAD","COCOA","FL","32922",,"WILEY REIN & FIELDING LLP","JOHN M. BURGETT",,"1776 K STREET, NW",,"WASHINGTON","DC","20006",,"2027197000",,"JBURGETT@WRF.COM",,,,"DT","Digital TV","COCOA",,,"FL",,6744,28,36,35.0,"N",81,3,35.0,"W",,"1063249",1000006783,38429,"DIE","888","D","Directional",,,"H",1000006783,,,,182.000,,566.00000000,566.00000000,"MHz.",,,,,16.0000000
1000006754,"CDBS","KZAK-LD",6754,"0015806946","COCOLA BROADCASTING COMPANIES LLC","COCOLA BROADCASTING COMPANIES LLC","LD","Digital Translator or Digital LPTV","Broadcast","Broadcast","07/25/2011 00:00:00","10/01/2022 00:00:00",,"07/25/2011 00:00:00","LICEN","LICENSED","A","Active",,"Unknown","B","Business","706 W. HERNDON AVENUE","FRESNO","CA","93650",,"MICHAEL COUZENS ATTORNEY AT LAW","MICHAEL  COUZENS",,"6536 TELEGRAPH AVE. SUITE B201",,"OAKLAND","CA","94609",,"5106587654",,"CUZ@WELL.COM",,,,"LD","Digital Translator or Digital LPTV","BOISE",,,"ID",,6754,43,44,23.0,"N",116,8,15.0,"W",,,1000006824,19753,"KAT","K72314","D","Directional",,,,1000006824,,,,15.000,,596.00000000,602.00000000,"MHz.",,,,,1785.0000000
1000006785,"CDBS","K253BB",6785,"0024188005","CCR-ST. GEORGE IV, LLC",,"FX","FM Translator","Broadcast","Broadcast","08/18/2010 00:00:00","10/01/2021 00:00:00",,"08/18/2010 00:00:00","LICEN","LICENSED","A","Active",,"Unknown","B","Business","7400 E. ORCHARD ROAD, SUITE 2800N","GREENWOOD VILLAGE","CO","80111",,"DRINKER BIDDLE & REATH LLP","HOWARD LIBERMAN",,"1500 K STREET, NW","SUITE 1100","WASHINGTON","DC","20005",,"2028428876",,"HOWARD.LIBERMAN@DBR.COM",,,,"FX","FM Translator","ST. GEORGE",,,"UT",,6785,37,1,50.0,"N",113,35,25.0,"W",,,1000006855,,,,"N","Non-Directional",,,,1000006855,,"D","A Noncommercial educational operating with no more than 10W",0.019,,98.50000000,98.50000000,"MHz.",,,,,
1000006791,"CDBS","KTAV-LD",6791,"0011339447","ALMA VISION HISPANIC NETWORK, INC.",,"LD","Digital Translator or Digital LPTV","Broadcast","Broadcast","06/01/2010 00:00:00","12/01/2022 00:00:00",,"06/01/2010 00:00:00","LICEN","LICENSED","A","Active",,"Unknown","B","Business","PO BOX 2434","LA PUENTE","CA","91746-0434",,,,,,,,,,,,,,,,,"LD","Digital Translator or Digital LPTV","LANCASTER",,,"CA",,6791,34,13,35.2,"N",118,3,57.6,"W",,"1221073",1000006862,1000881,"ALI","ATC-BCH78C3R-46","D","Directional",,,"H",1000006862,,,,15.000,,180.00000000,186.00000000,"MHz.",,,,,1740.4000000
1000006807,"CDBS","KRRY",6807,"0021075106","TOWNSQUARE MEDIA QUINCY-HANNIBAL LICENSE, LLC",,"FM","FM Station","Broadcast","Broadcast","03/30/2000 15:07:51","02/01/2021 00:00:00",,"03/30/2000 15:07:51","LICEN","LICENSED","A","Active",,"Unknown","B","Business","1 MANHATTANVILLE ROAD, SUITE 202","PURCHASE","NY","10577",,"FLETCHER, HEALD & HILDRETH, P.L.C.","KATHLEEN VICTORY, ESQUIRE",,,,,,,,"7038120400",,"VICTORY@FHHLAW.COM",,,,"FS","FM Auxiliary Transmitting Antenna","CANTON",,,"MO",,6807,39,53,9.0,"N",91,36,38.0,"W",,"1061652",1000006877,,"ERI","LPX-2E-HW","N","Non-Directional",,,,1000006877,,"C2","A Zone II station, with 25kW-50kW ERP and a class contour distance 39km-52km",5.200,10000.000,100.90000000,100.90000000,"MHz.",,,,,
1000006807,"CDBS","KRRY",6807,"0021075106","TOWNSQUARE MEDIA QUINCY-HANNIBAL LICENSE, LLC",,"FM","FM Station","Broadcast","Broadcast","03/30/2000 15:07:51","02/01/2021 00:00:00",,"03/30/2000 15:07:51","LICEN","LICENSED","A","Active",,"Unknown","B","Business","1 MANHATTANVILLE ROAD, SUITE 202","PURCHASE","NY","10577",,,,,,,,,,,,,,,,,"FM","FM Station","CANTON",,,"MO",,6807,39,53,9.0,"N",91,36,38.0,"W",,"1061652",1000006878,30331,"ERI","LP-6-C","N","Non-Directional",,,,1000006878,,"C2","A Zone II station, with 25kW-50kW ERP and a class contour distance 39km-52km",28.000,10000.000,100.90000000,100.90000000,"MHz.",,,,,
1000006809,"CDBS","WNNX",6809,"0023756331","RADIO LICENSE HOLDING SRC LLC",,"FM","FM Station","Broadcast","Broadcast",,"04/01/2020 00:00:00",,,"LICEN","LICENSED","A","Active",,"Unknown","B","Business","3280 PEACHTREE ROAD, NW, SUITE 2300","ATLANTA","GA","30305",,"VINSON & ELKINS LLP","MARK N. LIPP  ESQ",,,,,,,,"2026396500",,"MLIPP@VELAW.COM",,,,"FM","FM Station","COLLEGE PARK",,,"GA",,6809,90,60,60.0,"N",0,60,60.0,"W",,,1000006880,,,,,,,,,1000006880,,,,,,100.50000000,100.50000000,"MHz.",,,,,
